2010-07-29 14:40:03 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:40:12 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:40:14 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:40:16 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:40:31 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:40:41 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:41:24 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:41:27 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:41:32 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:42:55 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-29 14:42:58 Notice: Notice (8): Undefined variable: usuario in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 44]
2010-07-30 12:44:47 Notice: Notice (8): Undefined variable: article in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 46]
2010-07-30 12:44:48 Notice: Notice (8): Undefined variable: article in [/var/www/CORE3/KERCUS/views/layouts/default.ctp, line 46]
2010-08-02 10:01:37 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-08-03 12:28:56 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-08-03 13:42:16 Notice: Notice (8): Undefined variable: users in [/var/www/CORE3/KERCUS/views/posts/index.ctp, line 8]
2010-08-03 13:43:33 Notice: Notice (8): Undefined variable: users in [/var/www/CORE3/KERCUS/views/posts/index.ctp, line 8]
2010-08-05 11:55:06 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-08-09 09:11:04 Notice: Notice (8): Undefined variable: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 13]
2010-08-09 09:13:09 Notice: Notice (8): Undefined offset: 0 in [/var/www/CORE3/KERCUS/models/user.php, line 41]
2010-08-09 09:13:12 Notice: Notice (8): Undefined offset: 0 in [/var/www/CORE3/KERCUS/models/user.php, line 41]
2010-08-09 11:50:34 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 31]
2010-08-09 11:50:37 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 31]
2010-08-09 11:53:27 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 31]
2010-08-09 11:53:32 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 31]
2010-08-09 11:53:40 Notice: Notice (8): Undefined variable: cond in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 38]
2010-08-09 11:54:49 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 32]
2010-08-09 11:56:13 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 32]
2010-08-09 11:56:18 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 32]
2010-08-09 11:57:53 Notice: Notice (8): Undefined property: UsersController::$Busca in [/var/www/CORE3/KERCUS/controllers/users_controller.php, line 33]
2010-08-09 11:59:56 Notice: Notice (8): Undefined offset: 0 in [/var/www/CORE3/cake/libs/model/datasources/dbo_source.php, line 2175]
2010-08-09 12:53:07 Notice: Notice (8): Undefined property: Menus::$Menu in [/var/www/CORE3/KERCUS/controllers/menuses_controller.php, line 10]
2010-08-09 12:53:14 Notice: Notice (8): Undefined property: Menus::$Menu in [/var/www/CORE3/KERCUS/controllers/menuses_controller.php, line 10]
2010-08-09 12:53:52 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 12:57:37 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 12:57:41 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 12:57:53 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 12:58:04 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 12:58:14 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 12:59:07 Notice: Notice (8): Undefined variable: menuses in [/var/www/CORE3/KERCUS/views/menuses/index.ctp, line 9]
2010-08-09 13:05:00 Notice: Notice (8): Undefined property: MenusesController::$Menuses in [/var/www/CORE3/KERCUS/controllers/menuses_controller.php, line 33]
2010-08-10 08:46:18 Notice: Notice (8): Undefined variable: m in [/var/www/CORE3/KERCUS/views/menuses/menuses.ctp, line 2]
